2020.09.10-12.47.50,v1.06-2-gafd7e38,46 , 114 , (11 20 7 1 6) , 798 , ((20 * 6) - (7 - 1)) , 70
2020.09.10-12.47.50,v1.06-2-gafd7e38,47 , 114 , (11 20 7 1 6) , 158 , ((6 * 20) - (7 - 1)) , 4
2020.09.10-12.47.50,v1.06-2-gafd7e38,48 , 114 , (11 20 7 1 6) , 635 , ((20 * 6) - (7 - 1)) , 89
2020.09.10-12.47.50,v1.06-2-gafd7e38,49 , 114 , (11 20 7 1 6) , 878 , ((20 * 6) - (7 - 1)) , 112
2020.09.10-12.47.50,v1.06-2-gafd7e38,50 , 114 , (11 20 7 1 6) , 2000 , none,  210
2020.09.10-12.47.50,v1.06-2-gafd7e38,51 , 114 , (11 20 7 1 6) , 2000 , none,  439
2020.09.10-12.47.50,v1.06-2-gafd7e38,52 , 114 , (11 20 7 1 6) , 312 , ((6 * 20) - (7 - 1)) , 25
2020.09.10-12.47.50,v1.06-2-gafd7e38,53 , 114 , (11 20 7 1 6) , 588 , ((20 * 6) - (7 - 1)) , 74
2020.09.10-12.47.50,v1.06-2-gafd7e38,54 , 114 , (11 20 7 1 6) , 1338 , ((20 * 6) - (7 - 1)) , 127
2020.09.10-12.47.50,v1.06-2-gafd7e38,55 , 114 , (11 20 7 1 6) , 272 , ((6 * 20) - (7 - 1)) , 15
2020.09.10-12.47.50,v1.06-2-gafd7e38,56 , 114 , (11 20 7 1 6) , 1279 , ((6 * 20) - (7 - 1)) , 143
2020.09.10-12.47.50,v1.06-2-gafd7e38,57 , 114 , (11 20 7 1 6) , 899 , ((6 * 20) - (7 - 1)) , 129
2020.09.10-12.47.50,v1.06-2-gafd7e38,58 , 114 , (11 20 7 1 6) , 478 , ((6 * 20) - (7 - 1)) , 70
2020.09.10-12.47.50,v1.06-2-gafd7e38,59 , 114 , (11 20 7 1 6) , 909 , ((6 * 20) - (7 - 1)) , 50
2020.09.10-12.47.50,v1.06-2-gafd7e38,60 , 114 , (11 20 7 1 6) , 850 , ((6 * 20) - (7 - 1)) , 135
2020.09.10-12.47.50,v1.06-2-gafd7e38,61 , 114 , (11 20 7 1 6) , 867 , ((6 * 20) - (7 - 1)) , 161
2020.09.10-12.47.50,v1.06-2-gafd7e38,62 , 114 , (11 20 7 1 6) , 219 , ((20 * 6) - (7 - 1)) , 18
2020.09.10-12.47.50,v1.06-2-gafd7e38,63 , 114 , (11 20 7 1 6) , 488 , ((6 * 20) - (7 - 1)) , 54
2020.09.10-12.47.50,v1.06-2-gafd7e38,64 , 114 , (11 20 7 1 6) , 305 , ((20 * 6) - (7 - 1)) , 29
2020.09.10-12.47.50,v1.06-2-gafd7e38,65 , 114 , (11 20 7 1 6) , 1087 , ((20 * 6) - (7 - 1)) , 109
2020.09.10-12.47.50,v1.06-2-gafd7e38,66 , 114 , (11 20 7 1 6) , 977 , ((20 * 6) - (7 - 1)) , 195
2020.09.10-12.47.50,v1.06-2-gafd7e38,67 , 114 , (11 20 7 1 6) , 2000 , none,  204
2020.09.10-12.47.50,v1.06-2-gafd7e38,68 , 114 , (11 20 7 1 6) , 1184 , ((6 * 20) - (7 - 1)) , 303
2020.09.10-12.47.50,v1.06-2-gafd7e38,69 , 114 , (11 20 7 1 6) , 462 , ((6 * 20) - (7 - 1)) , 70
2020.09.10-12.47.50,v1.06-2-gafd7e38,70 , 114 , (11 20 7 1 6) , 1854 , ((6 * 20) - (7 - 1)) , 376
2020.09.10-12.47.50,v1.06-2-gafd7e38,71 , 114 , (11 20 7 1 6) , 148 , ((6 * 20) - (7 - 1)) , 2
2020.09.10-12.47.50,v1.06-2-gafd7e38,72 , 114 , (11 20 7 1 6) , 1678 , ((6 * 20) - (7 - 1)) , 321
2020.09.10-12.47.50,v1.06-2-gafd7e38,73 , 114 , (11 20 7 1 6) , 911 , ((20 * 6) - (7 - 1)) , 146
2020.09.10-12.47.50,v1.06-2-gafd7e38,74 , 114 , (11 20 7 1 6) , 46 , ((6 * 20) - (7 - 1)) , 0
2020.09.10-12.47.50,v1.06-2-gafd7e38,75 , 114 , (11 20 7 1 6) , 2000 , none,  476
2020.09.10-12.47.50,v1.06-2-gafd7e38,76 , 114 , (11 20 7 1 6) , 480 , ((20 * 6) - (7 - 1)) , 63
2020.09.10-12.47.50,v1.06-2-gafd7e38,77 , 114 , (11 20 7 1 6) , 1054 , ((6 * 20) - (7 - 1)) , 112
2020.09.10-12.47.50,v1.06-2-gafd7e38,78 , 114 , (11 20 7 1 6) , 221 , ((6 * 20) - (7 - 1)) , 22
2020.09.10-12.47.50,v1.06-2-gafd7e38,79 , 114 , (11 20 7 1 6) , 477 , ((6 * 20) - (7 - 1)) , 50
2020.09.10-12.47.50,v1.06-2-gafd7e38,80 , 114 , (11 20 7 1 6) , 122 , ((6 * 20) - (7 - 1)) , 4
2020.09.10-12.47.50,v1.06-2-gafd7e38,81 , 114 , (11 20 7 1 6) , 2000 , none,  440
2020.09.10-12.47.50,v1.06-2-gafd7e38,82 , 114 , (11 20 7 1 6) , 938 , ((6 * 20) - (7 - 1)) , 60
2020.09.10-12.47.50,v1.06-2-gafd7e38,83 , 114 , (11 20 7 1 6) , 860 , ((20 * 6) - (7 - 1)) , 78
2020.09.10-12.47.50,v1.06-2-gafd7e38,84 , 114 , (11 20 7 1 6) , 520 , ((20 * 6) - (7 - 1)) , 81
2020.09.10-12.47.50,v1.06-2-gafd7e38,85 , 114 , (11 20 7 1 6) , 68 , ((20 * 6) - (7 - 1)) , 0
2020.09.10-12.47.50,v1.06-2-gafd7e38,86 , 114 , (11 20 7 1 6) , 1518 , ((20 * 6) - (7 - 1)) , 226
2020.09.10-12.47.50,v1.06-2-gafd7e38,87 , 114 , (11 20 7 1 6) , 1063 , ((20 * 6) - (7 - 1)) , 187
2020.09.10-12.47.50,v1.06-2-gafd7e38,88 , 114 , (11 20 7 1 6) , 1025 , ((20 * 6) - (7 - 1)) , 191
2020.09.10-12.47.50,v1.06-2-gafd7e38,89 , 114 , (11 20 7 1 6) , 647 , ((20 * 6) - (7 - 1)) , 80
2020.09.10-12.47.50,v1.06-2-gafd7e38,90 , 114 , (11 20 7 1 6) , 257 , ((20 * 6) - (7 - 1)) , 33
2020.09.10-12.47.50,v1.06-2-gafd7e38,91 , 114 , (11 20 7 1 6) , 2000 , none,  172
2020.09.10-12.47.50,v1.06-2-gafd7e38,92 , 114 , (11 20 7 1 6) , 947 , ((6 * 20) - (7 - 1)) , 106
2020.09.10-12.47.50,v1.06-2-gafd7e38,93 , 114 , (11 20 7 1 6) , 1737 , ((6 * 20) - (7 - 1)) , 291
2020.09.10-12.47.50,v1.06-2-gafd7e38,94 , 114 , (11 20 7 1 6) , 488 , ((20 * 6) - (7 - 1)) , 23
2020.09.10-12.47.50,v1.06-2-gafd7e38,95 , 114 , (11 20 7 1 6) , 1460 , ((6 * 20) - (7 - 1)) , 262
2020.09.10-12.47.50,v1.06-2-gafd7e38,96 , 114 , (11 20 7 1 6) , 1028 , ((20 * 6) - (7 - 1)) , 123
2020.09.10-12.47.50,v1.06-2-gafd7e38,97 , 114 , (11 20 7 1 6) , 2000 , none,  260
2020.09.10-12.47.50,v1.06-2-gafd7e38,98 , 114 , (11 20 7 1 6) , 1329 , ((6 * 20) - (7 - 1)) , 207
2020.09.10-12.47.50,v1.06-2-gafd7e38,99 , 114 , (11 20 7 1 6) , 2000 , none,  185
2020.09.10-12.47.50,v1.06-2-gafd7e38,0 , 87 , (8 3 9 10 7) , 58 , ((8 * 10) + 7) , 0
2020.09.10-12.47.50,v1.06-2-gafd7e38,1 , 87 , (8 3 9 10 7) , 2000 , none,  343
2020.09.10-12.47.50,v1.06-2-gafd7e38,2 , 87 , (8 3 9 10 7) , 1964 , ((10 * 9) - 3) , 288
2020.09.10-12.47.50,v1.06-2-gafd7e38,3 , 87 , (8 3 9 10 7) , 1093 , ((10 * 8) + 7) , 154
2020.09.10-12.47.50,v1.06-2-gafd7e38,4 , 87 , (8 3 9 10 7) , 45 , ((9 * 10) - 3) , 0
2020.09.10-12.47.50,v1.06-2-gafd7e38,5 , 87 , (8 3 9 10 7) , 2000 , none,  498
2020.09.10-12.47.50,v1.06-2-gafd7e38,6 , 87 , (8 3 9 10 7) , 859 , ((10 * 9) - 3) , 102
2020.09.10-12.47.50,v1.06-2-gafd7e38,7 , 87 , (8 3 9 10 7) , 200 , ((10 * 9) - 3) , 17
2020.09.10-12.47.50,v1.06-2-gafd7e38,8 , 87 , (8 3 9 10 7) , 328 , ((9 * 10) - 3) , 15
2020.09.10-12.47.50,v1.06-2-gafd7e38,9 , 87 , (8 3 9 10 7) , 1489 , ((9 * 10) - 3) , 170
