2020.08.10-07.15.19,v1.04-5-g727ef31,35 , 114 , (11 20 7 1 6) , 907 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,36 , 114 , (11 20 7 1 6) , 534 , ((20 * 6) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,37 , 114 , (11 20 7 1 6) , 4691 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,38 , 114 , (11 20 7 1 6) , 505 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,39 , 114 , (11 20 7 1 6) , 458 , ((20 * 6) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,40 , 114 , (11 20 7 1 6) , 1506 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,41 , 114 , (11 20 7 1 6) , 118 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,42 , 114 , (11 20 7 1 6) , 449 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,43 , 114 , (11 20 7 1 6) , 912 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,44 , 114 , (11 20 7 1 6) , 4157 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,45 , 114 , (11 20 7 1 6) , 1134 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,46 , 114 , (11 20 7 1 6) , 938 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,47 , 114 , (11 20 7 1 6) , 5000 , none
2020.08.10-07.15.19,v1.04-5-g727ef31,48 , 114 , (11 20 7 1 6) , 1013 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,49 , 114 , (11 20 7 1 6) , 1597 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,50 , 114 , (11 20 7 1 6) , 1206 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,51 , 114 , (11 20 7 1 6) , 1559 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,52 , 114 , (11 20 7 1 6) , 985 , ((20 * 6) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,53 , 114 , (11 20 7 1 6) , 3678 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,54 , 114 , (11 20 7 1 6) , 2306 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,55 , 114 , (11 20 7 1 6) , 1945 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,56 , 114 , (11 20 7 1 6) , 313 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,57 , 114 , (11 20 7 1 6) , 3887 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,58 , 114 , (11 20 7 1 6) , 287 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,59 , 114 , (11 20 7 1 6) , 576 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,60 , 114 , (11 20 7 1 6) , 2610 , ((20 * 6) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,61 , 114 , (11 20 7 1 6) , 1524 , ((6 * 20) - (7 - 1))
