2020.08.16-16.53.47,v1.05-3-g6ec3b27,19 , 114 , (11 20 7 1 6) , 659 , ((20 * 6) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,20 , 114 , (11 20 7 1 6) , 5000 , none
2020.08.16-16.53.47,v1.05-3-g6ec3b27,21 , 114 , (11 20 7 1 6) , 1919 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,22 , 114 , (11 20 7 1 6) , 2618 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,23 , 114 , (11 20 7 1 6) , 149 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,24 , 114 , (11 20 7 1 6) , 870 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,25 , 114 , (11 20 7 1 6) , 491 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,26 , 114 , (11 20 7 1 6) , 1518 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,27 , 114 , (11 20 7 1 6) , 192 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,28 , 114 , (11 20 7 1 6) , 1757 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,29 , 114 , (11 20 7 1 6) , 2604 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,30 , 114 , (11 20 7 1 6) , 1188 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,31 , 114 , (11 20 7 1 6) , 1764 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,32 , 114 , (11 20 7 1 6) , 509 , ((20 * 6) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,33 , 114 , (11 20 7 1 6) , 522 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,34 , 114 , (11 20 7 1 6) , 3227 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,35 , 114 , (11 20 7 1 6) , 582 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,36 , 114 , (11 20 7 1 6) , 2814 , ((20 * 6) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,37 , 114 , (11 20 7 1 6) , 468 , ((20 * 6) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,38 , 114 , (11 20 7 1 6) , 456 , ((20 * 6) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,39 , 114 , (11 20 7 1 6) , 2065 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,40 , 114 , (11 20 7 1 6) , 767 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,41 , 114 , (11 20 7 1 6) , 780 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,42 , 114 , (11 20 7 1 6) , 1421 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,43 , 114 , (11 20 7 1 6) , 189 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,44 , 114 , (11 20 7 1 6) , 805 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,45 , 114 , (11 20 7 1 6) , 869 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,46 , 114 , (11 20 7 1 6) , 2346 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,47 , 114 , (11 20 7 1 6) , 1287 , ((20 * 6) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,48 , 114 , (11 20 7 1 6) , 278 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,49 , 114 , (11 20 7 1 6) , 647 , ((20 * 6) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,50 , 114 , (11 20 7 1 6) , 1933 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,51 , 114 , (11 20 7 1 6) , 276 , ((20 * 6) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,52 , 114 , (11 20 7 1 6) , 200 , ((20 * 6) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,53 , 114 , (11 20 7 1 6) , 419 , ((20 * 6) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,54 , 114 , (11 20 7 1 6) , 703 , ((20 * 6) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,55 , 114 , (11 20 7 1 6) , 666 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,56 , 114 , (11 20 7 1 6) , 1266 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,57 , 114 , (11 20 7 1 6) , 1679 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,58 , 114 , (11 20 7 1 6) , 158 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,59 , 114 , (11 20 7 1 6) , 1877 , ((6 * 20) - (7 - 1))
