2020.09.10-19.40.19,v1.07,69 , 114 , (11 20 7 1 6) , 848 , ((20 * 6) - (7 - 1)) , 92
2020.09.10-19.40.19,v1.07,70 , 114 , (11 20 7 1 6) , 319 , ((20 * 6) - (7 - 1)) , 18
2020.09.10-19.40.19,v1.07,71 , 114 , (11 20 7 1 6) , 828 , ((20 * 6) - (7 - 1)) , 124
2020.09.10-19.40.19,v1.07,72 , 114 , (11 20 7 1 6) , 2000 , none,  381
2020.09.10-19.40.19,v1.07,73 , 114 , (11 20 7 1 6) , 327 , ((20 * 6) - (7 - 1)) , 20
2020.09.10-19.40.19,v1.07,74 , 114 , (11 20 7 1 6) , 1108 , ((20 * 6) - (7 - 1)) , 165
2020.09.10-19.40.19,v1.07,75 , 114 , (11 20 7 1 6) , 1700 , ((6 * 20) - (7 - 1)) , 207
2020.09.10-19.40.19,v1.07,76 , 114 , (11 20 7 1 6) , 1587 , ((6 * 20) - (7 - 1)) , 207
2020.09.10-19.40.19,v1.07,77 , 114 , (11 20 7 1 6) , 119 , ((20 * 6) - (7 - 1)) , 0
2020.09.10-19.40.19,v1.07,78 , 114 , (11 20 7 1 6) , 727 , ((6 * 20) - (7 - 1)) , 101
2020.09.10-19.40.19,v1.07,79 , 114 , (11 20 7 1 6) , 948 , ((20 * 6) - (7 - 1)) , 133
2020.09.10-19.40.19,v1.07,80 , 114 , (11 20 7 1 6) , 120 , ((6 * 20) - (7 - 1)) , 0
2020.09.10-19.40.19,v1.07,81 , 114 , (11 20 7 1 6) , 2000 , none,  338
2020.09.10-19.40.19,v1.07,82 , 114 , (11 20 7 1 6) , 540 , ((6 * 20) - (7 - 1)) , 42
2020.09.10-19.40.19,v1.07,83 , 114 , (11 20 7 1 6) , 889 , ((6 * 20) - (7 - 1)) , 137
2020.09.10-19.40.19,v1.07,84 , 114 , (11 20 7 1 6) , 226 , ((20 * 6) - (7 - 1)) , 14
2020.09.10-19.40.19,v1.07,85 , 114 , (11 20 7 1 6) , 2000 , none,  306
2020.09.10-19.40.19,v1.07,86 , 114 , (11 20 7 1 6) , 1388 , ((6 * 20) - (7 - 1)) , 139
2020.09.10-19.40.19,v1.07,87 , 114 , (11 20 7 1 6) , 230 , ((20 * 6) - (7 - 1)) , 22
2020.09.10-19.40.19,v1.07,88 , 114 , (11 20 7 1 6) , 1787 , ((6 * 20) - (7 - 1)) , 283
2020.09.10-19.40.19,v1.07,89 , 114 , (11 20 7 1 6) , 599 , ((6 * 20) - (7 - 1)) , 74
2020.09.10-19.40.19,v1.07,90 , 114 , (11 20 7 1 6) , 2000 , none,  325
